T,P,H1,H2,U1,U2,Ve1,Ve2,S1,S2,EH,EU,ES
0.01,0.6117,0.001,2500.9,0,2374.9,0.001,206,0,9.1556,2500.9,2374.9,9.1556
5,0.8725,21.02,2510.1,21.019,2381.8,0.001,147.03,0.0763,9.0249,2489.1,2360.8,8.9487
10,1.2281,42.022,2519.2,42.02,2388.7,0.001,106.32,0.1511,8.8999,2477.2,2346.6,8.7488
15,1.7057,62.982,2528.3,62.98,2395.5,0.001001,77.885,0.2245,8.7803,2465.4,2332.5,8.5559
20,2.3392,83.915,2537.4,83.913,2402.3,0.001002,57.762,0.2965,8.6661,2453.5,2318.4,8.3696
25,3.1698,104.83,2546.5,104.83,2409.1,0.001003,43.34,0.3672,8.5567,2441.7,2304.3,8.1895
30,4.2469,125.74,2555.6,125.73,2415.9,0.001004,32.879,0.4368,8.452,2429.8,2290.2,8.0152
35,5.6291,146.64,2564.6,146.63,2422.7,0.001006,25.205,0.5051,8.3517,2417.9,2276,7.8466
40,7.3851,167.53,2573.5,167.53,2429.4,0.001008,19.515,0.5724,8.2556,2406,2261.9,7.6832
45,9.5953,188.44,2582.4,188.43,2436.1,0.00101,15.251,0.6386,8.1633,2394,2247.7,7.5247
50,12.352,209.34,2591.3,209.33,2442.7,0.001012,12.026,0.7038,8.0748,2382,2233.4,7.371
55,15.763,230.26,2600.1,230.24,2449.3,0.001015,9.5639,0.768,7.9898,2369.8,2219.1,7.2218
60,19.947,251.18,2608.8,251.16,2455.9,0.001017,7.667,0.8313,7.9082,2357.7,2204.7,7.0769
65,25.043,272.12,2617.5,272.09,2462.4,0.00102,6.1935,0.8937,7.8296,2345.4,2190.3,6.936
70,31.202,293.07,2626.1,293.04,2468.9,0.001023,5.0396,0.9551,7.754,2333,2175.8,6.7989
75,38.597,314.03,2634.6,313.99,2475.3,0.001026,4.1291,1.0158,7.6812,2320.6,2161.3,6.6655
80,47.416,335.02,2643,334.97,2481.6,0.001029,3.4053,1.0756,7.6111,2308,2146.6,6.5355
85,57.868,356.02,2651.4,355.96,2487.8,0.001032,2.8261,1.1346,7.5435,2295.3,2131.9,6.4089
90,70.183,377.04,2659.6,376.97,2494,0.001036,2.3593,1.1929,7.4782,2282.5,2117,6.2853
95,84.609,398.09,2667.6,398,2500.1,0.00104,1.9808,1.2504,7.4151,2269.6,2102,6.1647
100,101.42,419.17,2675.6,419.06,2506,0.001043,1.672,1.3072,7.3542,2256.4,2087,6.047
105,120.9,440.28,2683.4,440.15,2511.9,0.001047,1.4186,1.3634,7.2952,2243.1,2071.8,5.9319
110,143.38,461.42,2691.1,461.27,2517.7,0.001052,1.2094,1.4188,7.2382,2229.7,2056.4,5.8193
115,169.18,482.59,2698.6,482.42,2523.3,0.001056,1.036,1.4737,7.1829,2216,2040.9,5.7092
120,198.67,503.81,2706,503.6,2528.9,0.00106,0.89133,1.5279,7.1292,2202.1,2025.3,5.6013
125,232.23,525.07,2713.1,524.83,2534.3,0.001065,0.77012,1.5816,7.0771,2188.1,2009.5,5.4956
130,270.28,546.38,2720.1,546.1,2539.5,0.00107,0.66808,1.6346,7.0265,2173.7,1993.4,5.3919
135,313.22,567.75,2726.9,567.41,2544.7,0.001075,0.58179,1.6872,6.9773,2159.1,1977.3,5.2901
140,361.53,589.16,2733.5,588.77,2549.6,0.00108,0.5085,1.7392,6.9294,2144.3,1960.9,5.1901
145,415.68,610.64,2739.8,610.19,2554.4,0.001085,0.446,1.7908,6.8827,2129.2,1944.2,5.0919
150,476.16,632.18,2745.9,631.66,2559.1,0.001091,0.39248,1.8418,6.8371,2113.8,1927.4,4.9953
155,543.49,653.79,2751.8,653.19,2563.5,0.001096,0.34648,1.8924,6.7927,2098,1910.3,4.9002
160,618.23,675.47,2757.5,674.79,2567.8,0.001102,0.3068,1.9426,6.7492,2082,1893,4.8066
165,700.93,697.24,2762.8,696.46,2571.9,0.001108,0.27244,1.9923,6.7067,2065.6,1875.4,4.7143
170,792.18,719.08,2767.9,718.2,2575.7,0.001114,0.2426,2.0417,6.665,2048.8,1857.5,4.6233
175,892.6,741.02,2772.7,740.02,2579.4,0.001121,0.21659,2.0906,6.6242,2031.7,1839.4,4.5335
180,1002.8,763.05,2777.2,761.92,2582.8,0.001127,0.19384,2.1392,6.5841,2014.2,1820.9,4.4448
185,1123.5,785.19,2781.4,783.91,2586,0.001134,0.1739,2.1875,6.5447,1996.2,1802.1,4.3572
190,1255.2,807.43,2785.3,806,2589,0.001141,0.15636,2.2355,6.5059,1977.9,1783,4.2705
195,1398.8,829.78,2788.8,828.18,2591.7,0.001149,0.14089,2.2831,6.4678,1959,1763.6,4.1847
200,1554.9,852.26,2792,850.46,2594.2,0.001157,0.12721,2.3305,6.4302,1939.8,1743.7,4.0997
205,1724.3,874.87,2794.8,872.86,2596.4,0.001164,0.11508,2.3776,6.393,1920,1723.5,4.0154
210,1907.7,897.61,2797.3,895.38,2598.3,0.001173,0.10429,2.4245,6.3563,1899.7,1702.9,3.9318
215,2105.9,920.5,2799.3,918.02,2599.9,0.001181,0.09468,2.4712,6.32,1878.8,1681.9,3.8489
220,2319.6,943.55,2801,940.79,2601.3,0.00119,0.086094,2.5176,6.284,1857.4,1660.5,3.7664
225,2549.7,966.76,2802.2,963.7,2602.3,0.001199,0.078405,2.5639,6.2483,1835.4,1638.6,3.6844
230,2797.1,990.14,2802.9,986.76,2602.9,0.001209,0.071505,2.61,6.2128,1812.8,1616.1,3.6028
235,3062.6,1013.7,2803.2,1010,2603.2,0.001219,0.0653,2.656,6.1775,1789.5,1593.2,3.5216
240,3347,1037.5,2803,1033.4,2603.1,0.001229,0.059707,2.7018,6.1424,1765.5,1569.8,3.4405
245,3651.2,1061.5,2802.2,1056.9,2602.7,0.00124,0.054656,2.7476,6.1072,1740.8,1545.7,3.3596
250,3976.2,1085.7,2801,1080.7,2601.8,0.001252,0.050085,2.7933,6.0721,1715.3,1521.1,3.2788
255,4322.9,1110.1,2799.1,1104.7,2600.5,0.001263,0.045941,2.839,6.0369,1689,1495.8,3.1979
260,4692.3,1134.8,2796.6,1128.8,2598.7,0.001276,0.042175,2.8847,6.0017,1661.8,1469.9,3.1169
265,5085.3,1159.8,2793.5,1153.3,2596.5,0.001289,0.038748,2.9304,5.9662,1633.7,1443.2,3.0358
270,5503,1185.1,2789.7,1177.9,2593.7,0.001303,0.035622,2.9762,5.9305,1604.6,1415.7,2.9542
275,5946.4,1210.7,2785.2,1202.9,2590.3,0.001317,0.032767,3.0221,5.8944,1574.5,1387.4,2.8723
280,6416.6,1236.7,2779.9,1228.2,2586.4,0.001333,0.030153,3.0681,5.8579,1543.2,1358.2,2.7898
285,6914.6,1263.1,2773.7,1253.7,2581.8,0.001349,0.027756,3.1144,5.821,1510.7,1328.1,2.7066
290,7441.8,1289.8,2766.7,1279.7,2576.5,0.001366,0.025554,3.1608,5.7834,1476.9,1296.9,2.6225
295,7999,1317.1,2758.7,1306,2570.5,0.001384,0.023528,3.2076,5.745,1441.6,1264.5,2.5374
300,8587.9,1344.8,2749.6,1332.7,2563.6,0.001404,0.021659,3.2548,5.7059,1404.8,1230.9,2.4511
305,9209.4,1373.1,2739.4,1360,2555.8,0.001425,0.019932,3.3024,5.6657,1366.3,1195.9,2.3633
310,9865,1402,2727.9,1387.7,2547.1,0.001447,0.018333,3.3506,5.6243,1325.9,1159.3,2.2737
315,10556,1431.6,2715,1416.1,2537.2,0.001472,0.016849,3.3994,5.5816,1283.4,1121.1,2.1821
320,11284,1462,2700.6,1445.1,2526,0.001499,0.01547,3.4491,5.5372,1238.5,1080.9,2.0881
325,12051,1493.4,2684.3,1475,2513.4,0.001528,0.014183,3.4998,5.4908,1191,1038.5,1.9911
330,12858,1525.8,2666,1505.7,2499.2,0.00156,0.012979,3.5516,5.4422,1140.3,993.5,1.8906
335,13707,1559.4,2645.4,1537.5,2483,0.001597,0.011848,3.605,5.3907,1086,945.5,1.7857
340,14601,1594.6,2622,1570.7,2464.5,0.001638,0.010783,3.6602,5.3358,1027.4,893.8,1.6756
345,15541,1631.7,2595.1,1605.5,2443.2,0.001685,0.009772,3.7179,5.2765,963.4,837.7,1.5585
350,16529,1671.2,2563.9,1642.4,2418.3,0.001741,0.008806,3.7788,5.2114,892.7,775.9,1.4326
355,17570,1714,2526.9,1682.2,2388.6,0.001808,0.007872,3.8442,5.1384,812.9,706.4,1.2942
360,18666,1761.5,2481.6,1726.2,2351.9,0.001895,0.00695,3.9165,5.0537,720.1,625.7,1.1373
365,19822,1817.2,2422.7,1777.2,2303.6,0.002015,0.006009,4.0004,4.9493,605.5,526.4,0.9489
370,21044,1891.2,2334.3,1844.5,2230.1,0.002217,0.004953,4.1119,4.8009,441.1,385.6,0.689
373.95,22064,2084.3,2084.3,2015.7,2015.7,0.003106,0.003106,4.407,4.407,0,0,0